plateID,wellID,name,Population,Count,ParentCount,PercentParent,RootCount,PercentRoot
A,B03,B03_001_20230323_120929.fcs,/Debris/Singlets,40996,46945,87.32772393226116,50000,81.992
A,B03,B03_001_20230323_120929.fcs,/Debris/Singlets/Live,40803,40996,99.52922236315737,50000,81.606
A,B04,B04_001_20230323_121011.fcs,/Debris,46978,50000,93.95599999999999,50000,93.95599999999999
A,B04,B04_001_20230323_121011.fcs,/Debris/Singlets,40372,46978,85.93809868449061,50000,80.744
A,B04,B04_001_20230323_121011.fcs,/Debris/Singlets/Live,40190,40372,99.54919250966016,50000,80.38
A,B05,B05_001_20230323_121044.fcs,/Debris,46197,50000,92.394,50000,92.394
A,B05,B05_001_20230323_121044.fcs,/Debris/Singlets,37036,46197,80.1697079896963,50000,74.072
A,B05,B05_001_20230323_121044.fcs,/Debris/Singlets/Live,36950,37036,99.76779349821796,50000,73.9
A,B07,B07_001_20230323_121140.fcs,/Debris,41365,44733,92.47088279346343,44733,92.47088279346343
A,B07,B07_001_20230323_121140.fcs,/Debris/Singlets,34926,41365,84.43369998791249,44733,78.07658775400711
A,B07,B07_001_20230323_121140.fcs,/Debris/Singlets/Live,34844,34926,99.76521788925156,44733,77.89327789327788
A,B08,B08_001_20230323_121236.fcs,/Debris,40007,43444,92.08866586870454,43444,92.08866586870454
A,B08,B08_001_20230323_121236.fcs,/Debris/Singlets,33765,40007,84.3977303971805,43444,77.72074394622963
A,B08,B08_001_20230323_121236.fcs,/Debris/Singlets/Live,33702,33765,99.81341625944025,43444,77.57572967498389
A,B09,B09_001_20230323_121330.fcs,/Debris,48030,50000,96.06,50000,96.06
A,B09,B09_001_20230323_121330.fcs,/Debris/Singlets,43603,48030,90.78284405579846,50000,87.20599999999999
A,B09,B09_001_20230323_121330.fcs,/Debris/Singlets/Live,43533,43603,99.83946058757425,50000,87.066
A,B10,B10_001_20230323_121420.fcs,/Debris,47837,50000,95.674,50000,95.674
A,B10,B10_001_20230323_121420.fcs,/Debris/Singlets,43393,47837,90.71011978175889,50000,86.786
A,B10,B10_001_20230323_121420.fcs,/Debris/Singlets/Live,43331,43393,99.85711981195124,50000,86.66199999999999
A,B11,B11_001_20230323_121511.fcs,/Debris,47454,50000,94.908,50000,94.908
A,B11,B11_001_20230323_121511.fcs,/Debris/Singlets,41907,47454,88.31078518143886,50000,83.814
A,B11,B11_001_20230323_121511.fcs,/Debris/Singlets/Live,41819,41907,99.79001121531009,50000,83.638
A,B12,B12_001_20230323_121602.fcs,/Debris,47534,50000,95.068,50000,95.068
A,B12,B12_001_20230323_121602.fcs,/Debris/Singlets,43324,47534,91.14318172255649,50000,86.648
A,B12,B12_001_20230323_121602.fcs,/Debris/Singlets/Live,43223,43324,99.76687286492475,50000,86.446
A,C01,C01_001_20230323_121649.fcs,/Debris,47146,50000,94.292,50000,94.292
A,C01,C01_001_20230323_121649.fcs,/Debris/Singlets,41262,47146,87.5196199041276,50000,82.524
A,C01,C01_001_20230323_121649.fcs,/Debris/Singlets/Live,41198,41262,99.84489360670835,50000,82.396
A,C02,C02_001_20230323_121748.fcs,/Debris,46818,50000,93.636,50000,93.636
A,C02,C02_001_20230323_121748.fcs,/Debris/Singlets,40139,46818,85.73411935580333,50000,80.278
A,C02,C02_001_20230323_121748.fcs,/Debris/Singlets/Live,40035,40139,99.74090037121005,50000,80.07
A,C03,C03_001_20230323_121833.fcs,/Debris,47347,50000,94.694,50000,94.694
A,C03,C03_001_20230323_121833.fcs,/Debris/Singlets,41026,47347,86.64962933237587,50000,82.052
A,C03,C03_001_20230323_121833.fcs,/Debris/Singlets/Live,40926,41026,99.75625213279385,50000,81.852
A,C04,C04_001_20230323_121916.fcs,/Debris,47622,50000,95.244,50000,95.244
A,C04,C04_001_20230323_121916.fcs,/Debris/Singlets,42510,47622,89.26546554113645,50000,85.02
A,C04,C04_001_20230323_121916.fcs,/Debris/Singlets/Live,42429,42510,99.80945659844743,50000,84.858
A,C05,C05_001_20230323_122003.fcs,/Debris,47493,50000,94.986,50000,94.986
A,C05,C05_001_20230323_122003.fcs,/Debris/Singlets,41740,47493,87.88663592529426,50000,83.48
A,C05,C05_001_20230323_122003.fcs,/Debris/Singlets/Live,41659,41740,99.80594154288453,50000,83.318
A,C06,C06_001_20230323_122100.fcs,/Debris,45974,48242,95.2987023755234,48242,95.2987023755234
A,C06,C06_001_20230323_122100.fcs,/Debris/Singlets,40858,45974,88.87197111410798,48242,84.693835247294885
A,C06,C06_001_20230323_122100.fcs,/Debris/Singlets/Live,40790,40858,99.83356992510647,48242,84.55287923386261
A,C08,C08_001_20230323_123833.fcs,/Debris,22379,25441,87.96430957902598,25441,87.96430957902598
A,C08,C08_001_20230323_123833.fcs,/Debris/Singlets,19525,22379,87.24697260824881,25441,76.74619708344798
A,C08,C08_001_20230323_123833.fcs,/Debris/Singlets/Live,19445,19525,99.59026888604353,25441,76.43174403521874
A,C09,C09_001_20230323_122350.fcs,/Debris,46911,49685,94.4168260038241,49685,94.4168260038241
A,C09,C09_001_20230323_122350.fcs,/Debris/Singlets,41466,46911,88.39291424186226,49685,83.45778403944853
A,C09,C09_001_20230323_122350.fcs,/Debris/Singlets/Live,41412,41466,99.86977282592969,49685,83.34909932575223
A,C10,C10_001_20230323_122446.fcs,/Debris,31820,34228,92.96482412060301,34228,92.96482412060301
A,C10,C10_001_20230323_122446.fcs,/Debris/Singlets,28144,31820,88.44751728472659,34228,82.22507888278602
A,C10,C10_001_20230323_122446.fcs,/Debris/Singlets/Live,28107,28144,99.86853325753269,34228,82.11698025008765
A,C11,C11_001_20230323_122542.fcs,/Debris,26766,28822,92.86656026646311,28822,92.86656026646311
A,C11,C11_001_20230323_122542.fcs,/Debris/Singlets,24653,26766,92.105656429799,28822,85.53535493720075
A,C11,C11_001_20230323_122542.fcs,/Debris/Singlets/Live,24598,24653,99.77690341946214,28822,85.34452848518492
A,C12,C12_001_20230323_122639.fcs,/Debris,27680,30011,92.23284795574956,30011,92.23284795574956
A,C12,C12_001_20230323_122639.fcs,/Debris/Singlets,24688,27680,89.1907514450867,30011,82.26317017093733
A,C12,C12_001_20230323_122639.fcs,/Debris/Singlets/Live,24621,24688,99.72861309138042,30011,82.03991869647795
A,D01,D01_001_20230323_122737.fcs,/Debris,23262,25984,89.52432266009852,25984,89.52432266009852
A,D01,D01_001_20230323_122737.fcs,/Debris/Singlets,19768,23262,84.9797953744304,25984,76.07758620689656
A,D01,D01_001_20230323_122737.fcs,/Debris/Singlets/Live,19710,19768,99.70659651962768,25984,75.85437192118226
A,D02,D02_001_20230323_122848.fcs,/Debris,23326,26556,87.83702364813978,26556,87.83702364813978
A,D02,D02_001_20230323_122848.fcs,/Debris/Singlets,19069,23326,81.74997856469176,26556,71.8067480042175
A,D02,D02_001_20230323_122848.fcs,/Debris/Singlets/Live,19017,19069,99.72730609890398,26556,71.61093538183462
A,D03,D03_001_20230323_122929.fcs,/Debris,47835,50000,95.67,50000,95.67
A,D03,D03_001_20230323_122929.fcs,/Debris/Singlets,42338,47835,88.50841434096372,50000,84.676
A,D03,D03_001_20230323_122929.fcs,/Debris/Singlets/Live,42249,42338,99.7897869526194,50000,84.49799999999999
A,D04,D04_001_20230323_123011.fcs,/Debris,47897,50000,95.794,50000,95.794
A,D04,D04_001_20230323_123011.fcs,/Debris/Singlets,42131,47897,87.96166774537028,50000,84.262
A,D04,D04_001_20230323_123011.fcs,/Debris/Singlets/Live,41997,42131,99.68194441147848,50000,83.994
A,D05,D05_001_20230323_123052.fcs,/Debris,47637,50000,95.274,50000,95.274
A,D05,D05_001_20230323_123052.fcs,/Debris/Singlets,42780,47637,89.80414383777317,50000,85.56
A,D05,D05_001_20230323_123052.fcs,/Debris/Singlets/Live,42692,42780,99.794296400187,50000,85.384
A,D06,D06_001_20230323_123136.fcs,/Debris,47792,50000,95.584,50000,95.584
A,D06,D06_001_20230323_123136.fcs,/Debris/Singlets,42765,47792,89.48150318044861,50000,85.53
A,D06,D06_001_20230323_123136.fcs,/Debris/Singlets/Live,42702,42765,99.8526832690284,50000,85.404
A,D07,D07_001_20230323_123226.fcs,/Debris,47510,50000,95.02000000000001,50000,95.02000000000001
A,D07,D07_001_20230323_123226.fcs,/Debris/Singlets,43566,47510,91.69858977057461,50000,87.132
A,D07,D07_001_20230323_123226.fcs,/Debris/Singlets/Live,43441,43566,99.71307900656475,50000,86.882
